P4: 增长的那些基本套路

[0.0s - 2.6s] 大家好,这期课我们讲讲增长的基本套路
[78.0s - 79.8s] 来引爆大家的转发热情
[79.8s - 81.5s] 顺带推广一波自己的产品
[81.9s - 84.8s] 这事我印象中应该是在2015年左右
[85.1s - 86.0s] 大众点评
[86.0s - 88.5s] 我们之间就一个字的H5刷屏开始的
[88.9s - 90.6s] 后来网易得到了真传
[90.8s - 92.7s] 陆续做了很多刷屏的H5
[93.2s - 94.8s] 只是这种渠道门槛挺高
[94.8s - 97.3s] 而且刷不刷屏跟运气有些关系
[97.5s - 99.4s] 实际转化的效果也不好衡量
[99.8s - 100.7s] 第四类渠道
[101.0s - 102.4s] 砸大钱做品牌
[102.8s - 105.1s] 品牌的影响力是一种无形资产
[105.3s - 106.8s] 但是要形成品牌的影响力
[107.0s - 108.8s] 就需要在各种渠道去砸钱
[109.0s - 110.1s] 砸到一定程度呢
[110.1s - 111.4s] 流量和销量就来了
[111.8s - 112.9s] 就像你买可乐
[113.1s - 115.5s] 想到的就是可口可乐或者百式可乐
[116.3s - 118.1s] 但实际上还有非常可乐
[118.1s - 119.2s] 但你一般不会想到
[119.5s - 120.9s] 这就是品牌的影响力
[121.2s - 123.3s] 还有你想到买羊毛衫
[123.7s - 125.6s] 可能就会想到羊羊羊红元祥
[125.6s - 126.1s] 对吧
[126.2s - 127.8s] 这也是品牌的影响力
[128.4s - 130.1s] 我们先重点看一下第一类渠道
[130.6s - 132.5s] 第一条就是搜索引擎优化
[132.6s - 134.4s] 英文名简称SEO
[135.1s - 136.5s] 大概是个什么概念呢
[137.2s - 140.1s] 很多人找内容是通过搜索引擎搜索的
[140.6s - 142.6s] 而搜索引擎是怎么认知这个世界的呢
[143.2s - 144.0s] 我们看个例子
[144.4s - 145.8s] 打开bilibili的手印
[146.2s - 149.8s] 我们人眼看到的是各种各样的视频封面和标题
[150.3s - 152.1s] 这些都是属于非结构化的内容
[152.4s - 154.0s] 对于搜索引擎并不优化
[154.7s - 156.1s] 我们点击鼠标右键
[156.2s - 157.8s] 选择显示网页面代码
[158.2s - 159.2s] 可以看到一堆代码
[159.5s - 162.0s] 而这些代码就是搜索引擎看到的样子
[163.1s - 165.6s] 这里我们可以看到在图文模式的时候
[165.6s - 166.4s] 看不到的内容
[167.2s - 169.6s] 比如说这些Meta信息和关键词信息
[169.8s - 171.5s] 这些就是供搜索爬虫用的
[172.0s - 172.9s] 优化这些内容
[173.0s - 175.3s] 就可以提升被搜索引擎收录的概率
[175.6s - 177.3s] 从而获得更多的免费流量
[178.7s - 179.2s] 第二条
[179.8s - 180.7s] 应用商店优化
[180.8s - 181.7s] 简称ASO
[182.6s - 184.3s] APP如果想要被大家下载
[184.6s - 185.8s] 需要提交到应用商店
[186.2s - 188.4s] 所以针对应用商店进行优化
[188.5s - 191.0s] 就能提升自己的产品被搜索到的几率
[191.7s - 192.8s] 基础的方式就是
[193.0s - 195.4s] 在提交的时候慎重选择关键词
[196.0s - 196.9s] 看个具体的例子
[197.5s - 200.2s] 比如说我们在App Store搜索金字头条
[200.4s - 201.4s] 首先看到的
[201.6s - 203.9s] 当然是自己跳动自己的金字头条
[204.6s - 205.4s] 但冒下拖拽
[205.5s - 207.3s] 紧接着就是网易的网易新闻
[208.2s - 208.8s] 为什么呢
[209.1s - 212.7s] 毕竟网易新闻没有一个字和金字头条重复
[213.2s - 214.9s] 但你可以看到网易新闻的标题
[214.9s - 216.0s] 后面有一拖文字
[216.3s - 218.5s] 头条新闻视频资讯平台
[218.9s - 219.6s] 副标题呢
[219.9s - 222.1s] 热点新闻资讯视频软件
[222.7s - 224.4s] 还有大家看不到的一些关键词
[224.4s - 225.6s] 是在提交的时候写的
[226.1s - 228.0s] 这些关键词里边应该也覆盖了
[228.3s - 230.6s] 金字头条这类关键词
[231.1s - 232.4s] 所以能很快检索到
[233.4s - 233.9s] 当然了
[234.1s - 236.4s] SEO和ASO都是很专业的领域
[236.6s - 238.3s] 以上都是最粗浅的方式
[239.0s - 240.0s] 大家如果有兴趣
[240.0s - 242.4s] 可以再去找点专业书来仔细研究
[243.6s - 244.2s] 第三条
[244.4s - 245.2s] 录地页优化
[245.8s - 247.5s] 指的是产品分享出去之后
[247.6s - 249.6s] 对方打开这个页面看到的样子
[250.2s - 251.5s] 上集课也讲到一些思路
[251.5s - 252.5s] 这里就不展开了
[253.0s - 254.2s] 第四条和第五条
[254.4s - 256.3s] 产品自传播机制和产品优化
[257.0s - 259.0s] 这一条Pinduoduo是玩的最溜的
[259.1s - 260.6s] 作为一个视觉熟成的App
[260.9s - 262.4s] 觉得Pinduoduo在设计上
[262.4s - 263.9s] 实在是不太上台面
[264.2s - 265.2s] 但是不得不佩服
[265.2s - 267.2s] 人家在产品传播和优化的方面
[267.4s - 268.6s] 一直都是行业领先
[269.2s - 270.8s] 比如说商品详情页
[271.3s - 272.8s] 最核心的就是两个大按钮
[273.2s - 275.5s] 单独购买2165块9
[275.8s - 277.9s] 但是拼单就只要1969
[278.0s - 279.2s] 便宜了将近200块
[279.8s - 281.5s] 所以这就天然带来了传播
[282.1s - 284.6s] 而且那个单独买的按钮还是浅色的
[285.0s - 286.1s] 搞得像不可用一样
[286.3s - 287.3s] 也是刷费苦心
[288.0s - 289.6s] 如果你在商品详情页截屏
[289.9s - 291.5s] 会自动进入右边这个页面
[292.1s - 293.8s] 看起来虽然也是很丑
[294.0s - 296.2s] 但是用户心里把握的死死的
[296.9s - 297.8s] 为什么这么说呢
[298.1s - 300.0s] 因为你在商品详情页截屏
[300.5s - 302.5s] 极大的概率是要分享给你的朋友
[303.0s - 305.4s] 而互联网产品每增加一个层级
[305.5s - 307.2s] 都会带来极大的用户流失
[307.5s - 309.9s] 所以它直接把分享的按钮展示出来了
[310.2s - 311.6s] 你只要一键就能分享
[311.8s - 312.3s] 还有一点
[312.6s - 314.4s] 当你分享一张商品图片给好友
[314.8s - 317.0s] 但是好友怎么才能在Pinduoduo
[317.0s - 317.9s] 找到这个商品呢
[318.4s - 320.4s] 这一步又会损失掉很多流量
[321.0s - 323.0s] 所以Pinduoduo在分享的图片上
[323.1s - 324.0s] 加上了二维码
[324.4s - 326.3s] 好友但凡有点想买的意思
[326.4s - 327.9s] 就能扫码直接回来下单了
[328.7s - 330.8s] 这就是产品优化中一个挺好的例子
[331.4s - 332.0s] 第六条
[332.4s - 334.0s] Push 短信 邮件
[334.4s - 335.4s] 这个比较好理解
[335.8s - 337.2s] 每天手机弹窗提醒的
[337.3s - 340.0s] 都是这些APP拼命想让你打开它
[341.0s - 341.8s] 就像下图这样
[342.6s - 343.2s] 第七条
[343.5s - 344.2s] 内部引流
[344.8s - 346.9s] 就是公司内部多条产品线之间
[347.0s - 347.7s] 相互倒流
[348.2s - 350.9s] 比如说手机QQ可以给王志荣要倒流
[351.4s - 353.8s] 网易云音乐可以给网易云笔记倒流
[354.2s - 356.1s] 百度呢可以给好看视频倒流
[356.4s - 357.2s] 大家可能会想
[357.5s - 359.2s] 内部倒流就是完成免费的吗
[359.6s - 360.1s] 不是
[360.2s - 361.7s] 大多是内部结算的
[361.8s - 363.8s] 只是一般不需要马上把钱转过去
[364.1s - 364.7s] 可以设账
[364.9s - 367.0s] 实在设不过去了还可以赖账对吧
[368.2s - 368.8s] 第八条
[369.2s - 369.9s] 内部营销
[370.2s - 371.4s] 一些互联网大厂
[371.5s - 372.7s] 内部动辄四五万人
[372.8s - 373.8s] 或者七八万人
[374.2s - 375.2s] 所以内部论坛
[375.2s - 376.5s] 或者公司内发一些海报
[376.5s - 377.4s] 发一些福利
[377.4s - 379.0s] 也可以吸引一般种子用户
[380.0s - 381.8s] 接下来我们来看第二类渠道
[381.9s - 383.3s] 第一条是搜索广告
[383.5s - 385.3s] 简单来说就是给搜索引擎充值
[385.8s - 387.8s] 比如说你在用百度搜索的关键词之后
[388.1s - 389.0s] 搜索结果中
[389.0s - 390.5s] 有时候会有一些搜索条目
[390.5s - 391.6s] 有广告的字样
[392.0s - 393.2s] 这些就是冲过值的
[393.8s - 394.2s] 当然了
[394.4s - 395.9s] 充值并不代表一定不好
[396.0s - 397.9s] 比如说你搜索在线看视频
[398.2s - 399.1s] 那爱奇艺
[399.2s - 400.0s] 通讯视频
[400.0s - 400.7s] bilibili
[400.8s - 402.6s] 其实都是可以买这样关键词的
[402.9s - 404.5s] 也会被打上广告的标记
[405.3s - 406.8s] 搜索结果中越靠钱
[406.9s - 408.3s] 被用户点击的概率越高
[408.6s - 410.9s] 所以这部分是冲钱就会有流量
[411.3s - 412.4s] 如果你有推广预算
[412.4s - 413.2s] 可以研究一下
[413.2s - 414.9s] 买哪些关键词是最优惠的
[415.4s - 416.7s] 因为有些热门的关键词
[416.7s - 417.8s] 价格会非常的贵
[418.2s - 420.4s] 每个点击都要几十块甚至上百块
[420.8s - 421.8s] 而有些比较冷门
[421.8s - 423.9s] 但给你的产品紧密相关的关键词
[424.1s - 425.8s] 可能只要几毛钱一个点击
[426.1s - 428.0s] 接下来就是信息流广告和社交平台
[428.0s - 429.6s] 广告也比较好理解
[429.7s - 431.7s] 就是在今日头条网易新闻
[432.1s - 433.4s] 或者QQ空间
[433.8s - 434.7s] 微信朋友圈
[434.8s - 436.5s] 微博这样的产品上打广告
[437.5s - 438.6s] 第四条补贴
[439.0s - 441.4s] 是指用户在使用你的产品的时候
[441.4s - 442.7s] 给用户适当的补贴
[443.1s - 445.0s] 结合上节课提到的副歌模型
[445.0s - 447.0s] 就是降低用户的准入门槛
[447.7s - 450.1s] 比如说滴滴打车在早期的时候
[450.4s - 452.4s] 用户使用网约车的意愿并不强
[452.5s - 454.4s] 所以会给用户发大额的打车券
[454.8s - 456.8s] 折扣之后比出租车便宜很多
[457.0s - 459.8s] 这就吸引了一波互联网用户去尝试网约车
[460.2s - 462.6s] 这样的方式吸引了大量的种子用户
[462.8s - 464.1s] 第五条有奖推荐
[464.6s - 466.5s] P2P理财最喜欢的方式
[467.0s - 468.5s] 你只要推荐三个用户过来
[468.5s - 469.9s] 就可以给你几百块的奖励
[470.0s - 472.3s] 因为实际上对于P2P理财
[472.4s - 474.8s] 获取一个用户的成本大概会到200多
[475.1s - 476.6s] 如果你能邀请三个用户
[476.8s - 478.2s] 给你600块以内的奖励
[478.2s - 480.1s] 对于平台来说都是很划算的
[481.1s - 482.8s] 第六条重定位广告
[483.2s - 485.2s] 如果你在淘宝搜索了一款产品
[485.4s - 487.3s] 后来发现各种新闻的APP
[487.3s - 488.2s] 视频的APP
[488.3s - 489.8s] 都在给你推相关的产品
[490.0s - 491.5s] 以提升你购买的可能性
[491.9s - 493.5s] 这些就是重定位广告
[493.5s - 496.1s] 可以简单理解为按兴趣推荐的广告位
[497.1s - 498.0s] 第三类渠道
[498.3s - 499.9s] 流量爆款和利便内容
[500.6s - 502.6s] 网易有个达达工作室
[502.7s - 503.9s] 专门出产这种内容
[504.2s - 505.4s] 比如说心理测试
[505.6s - 506.7s] 新年立个flag
[506.8s - 508.4s] 测测你的哲学气质什么的
[508.9s - 511.5s] 很多小朋友很容易测完之后觉得神准
[511.7s - 513.0s] 就转发到自己的朋友圈
[513.4s - 516.1s] 这种内容就是这类渠道的典型案例
[516.3s - 517.9s] 这类渠道的实际转化效果
[517.9s - 518.9s] 我有点不太确定
[519.0s - 521.3s] 因为我自己没做成功过就不乱讲了
[522.3s - 523.2s] 第四类渠道
[523.4s - 524.8s] 各种地方打品牌广告
[525.1s - 527.0s] 这个部分需要花大量的钱
[527.0s - 528.8s] 但增长的效果很难衡量
[529.2s - 531.8s] 更多是市场和品牌的人要去考虑的事情
[532.2s - 534.0s] 展开来又是一个大话题
[534.1s - 535.2s] 这里就不展开了
[535.9s - 536.8s] 整体上来看
[536.8s - 538.7s] 第一类渠道是不用白不用
[538.8s - 540.5s] 同时也是必须得用的渠道
[541.0s - 542.3s] 第二类渠道是随便用
[542.3s - 543.4s] 但是有前提
[543.6s - 545.6s] 得满足条件时才能随便用
[546.6s - 547.4s] 第三类渠道
[547.4s - 548.8s] 对能力的要求比较高
[548.8s - 551.1s] 而且效果一定程度上要看运气
[551.7s - 552.8s] 第四类渠道是
[552.9s - 554.7s] 前面几个渠道都玩的很溜了
[554.7s - 557.0s] 产品也经过了市场验证的情况下
[557.2s - 558.8s] 上台阶的时候就去用的
[559.8s - 561.4s] 对于做增长的同学来说
[561.6s - 563.0s] 这四类渠道的优先级
[563.0s - 564.5s] 是一个逐层递紧的关系
[564.9s - 566.6s] 好了这张图画个重点
[566.8s - 568.3s] 建议暂停结个图
[570.4s - 572.5s] 刚才讲到的第二类渠道
[572.5s - 574.3s] 满足条件时才能随便用
[574.6s - 576.6s] 那需要满足什么条件呢
[577.2s - 579.0s] 就是 ROI 需要大于一
[579.3s - 580.2s] 用具体一点
[580.2s - 582.4s] 就是 CAC 小于 LTV 的情况下
[582.4s - 583.3s] 就可以随便用
[584.2s - 586.0s] 是不是这几个关键词都不认识
[586.9s - 588.1s] 但这几个词很重要
[588.5s - 589.8s] 所以我们一个个来看
[590.2s - 592.9s] ROI 就是投资回报比
[593.0s - 594.4s] 产出除以投入
[594.5s - 595.2s] 就是 ROI
[595.9s - 598.2s] 比如说我花100块买了一只小鸭子
[598.6s - 600.6s] 转手以150块的价格卖出去了
[601.0s - 603.2s] 那这个 ROI 就是150块的产出
[603.2s - 604.3s] 除以100块的投入
[604.6s - 605.2s] 是1.5
[605.8s - 607.6s] 如果转手以80块卖出去
[607.8s - 609.8s] ROI 就是80除以100
[609.9s - 610.6s] 是0.8
[611.3s - 613.6s] 所以当 ROI 大于一的时候
[613.6s - 614.9s] 你的生意是赚钱的
[615.2s - 617.5s] 而 ROI 小于一的时候就是亏钱的
[618.5s - 619.4s] 这就很好理解了
[619.7s - 622.0s] 假如平均我可以100块搞来一个用户
[622.2s - 624.9s] 而每个用户可以给我贡献100块以上的利润
[625.2s - 627.5s] 我应该有多少钱砸多少钱去买用户
[627.8s - 628.2s] 对吧
[628.2s - 629.8s] 这就是需要满足的那个条件
[630.2s - 631.5s] 而在互联网行业里面
[631.5s - 633.5s] 还有两个词对应着投入和产出
[633.8s - 635.7s] 分别是 CAC 和 LTV
[636.4s - 638.7s] CAC 是获取一个用户的平均花费
[639.0s - 641.6s] LTV 是用户全生命周期贡献的价值
[642.0s - 642.9s] 这个生命周期
[642.9s - 645.6s] 并非是用户自己从出生到死亡的生命周期
[646.0s - 647.6s] 而是从使用你的产品
[647.6s - 650.0s] 到再也不用你的产品之间的这个时间周期
[650.6s - 651.5s] 而在这个周期内
[651.6s - 654.6s] 总共为你的公司创造的利润就是 LTV
[655.5s - 657.0s] 比如说原神这款游戏
[657.3s - 659.1s] 会在 Bilibili 上投广告
[659.4s - 660.5s] 平均获取一个用户
[660.5s - 661.9s] 假设需要花费10块钱
[662.4s - 664.2s] 而从B站获取的这些用户呢
[664.4s - 666.8s] 从下载注册开始到期坑为止
[667.2s - 669.4s] 假设平均每个人都会为游戏充20块
[669.9s - 671.6s] 那 CAC 就是10块
[671.8s - 673.1s] LTV 就是20
[673.9s - 677.0s] 这个时候应该花更多的钱买 B站的广告位
[677.5s - 680.2s] 哎 这个时候你是不是有个大胆的想法
[680.8s - 683.3s] 花重金把 B站的广告位全承包了
[684.4s - 686.4s] 刚才只是理想情况下的假设
[686.6s - 688.8s] 实际上呢 每个广告位的效果都不同
[689.5s - 691.7s] 而且 B站的用户总输入也是有限的
[692.0s - 694.5s] 把那些能转化的用户都转化一遍之后
[694.6s - 695.9s] 就会到达一个平静期
[696.3s - 697.5s] CAC 持续升高
[697.7s - 699.1s] LTV 可能会下降
[699.4s - 701.2s] 那就是个复杂的计算问题了
[701.6s - 703.9s] 好了 接下来我们来看留存套路
[704.0s - 706.0s] 留存套路这里无非就是两种思路
[706.2s - 708.6s] 一种是把非刚需的需求变成刚需
[708.7s - 710.8s] 一种是把低品的需求变成高品
[711.4s - 713.5s] 那么如何才能无中生有呢
[713.8s - 715.3s] 我们来看几个产品的例子
[715.9s - 716.8s] 比如说 安居客
[717.2s - 718.4s] 一款卖房子的产品
[718.8s - 720.2s] 对于大部分的小朋友来说
[720.2s - 722.3s] 医生可能就买一两次房
[722.6s - 724.3s] 没人想做一款全生命周期
[724.5s - 725.8s] 用户只用一次的产品
[726.3s - 727.7s] 所以他们想了一个套路
[728.2s - 730.2s] 你买的房子估值有新变化
[731.1s - 733.2s] 很多小朋友都比较安慕虚荣啊
[733.4s - 735.6s] 尤其在过去几年的房地产市场上
[735.9s - 737.3s] 房价是单边上涨的
[737.6s - 739.7s] 每天都过来看一看就很开心
[740.2s - 742.5s] 开心情绪本身就是个很强的驱动力了
[742.7s - 744.3s] 这就提升了产品的留存
[744.8s - 746.1s] AirBnB这款产品
[746.6s - 749.6s] 核心功能就是旅游出行的时候预定房间
[750.4s - 753.0s] 但旅行也不是一个非常高品的需求
[753.2s - 754.9s] 可能几个月才旅行一次
[755.3s - 757.6s] 如果每次过来看看什么都不做就走了
[757.8s - 758.9s] 用户可能就流失了
[759.2s - 761.5s] 所以他们推出了标记心愿单的功能
[762.0s - 763.8s] 看到喜欢的房间就标记一下
[763.9s - 765.1s] 如果这个房间打特价
[765.4s - 766.4s] 你还能收到提醒
[766.9s - 767.9s] 就算没打特价
[768.0s - 769.7s] 你想到某个地方去旅行的时候
[769.9s - 772.3s] 也会想到去心愿单翻一翻的吧
[772.8s - 776.2s] V中银行是一款同讯出的理财类产品
[776.7s - 778.5s] 很多小朋友买了理财之后
[778.5s - 779.5s] 也不会经常买卖
[780.1s - 781.7s] 因为每次买卖都会有手续费
[782.1s - 783.6s] 又不能天天提醒你过来看
[784.0s - 785.4s] 因为理财很有可能会跌
[786.0s - 787.1s] 到时候用户一生气
[787.1s - 788.8s] 直接把基金都卖了就不好了
[789.1s - 790.9s] 怎么才能提醒用户回来
[791.1s - 792.9s] 同时还能提升自己的总体的
[792.9s - 794.0s] 资产管理规模呢
[794.2s - 796.2s] 于是有了工资理财提醒的功能
[797.1s - 798.6s] 每个月你发工资的那一天
[798.8s - 800.0s] 系统就会自动提醒你
[800.5s - 802.9s] 亲这个月的工资要不要来存呀
[803.3s - 805.4s] 微保怎么又是同讯的产品
[805.8s - 807.4s] 会不会被人怀疑恰饭呢
[807.8s - 809.4s] 啊不过就这个视频播放量
[809.8s - 812.5s] 我们真的只是纯学习交流啊
[813.7s - 815.9s] 短期的保险呢也有一年的周期
[816.2s - 818.2s] 长期的保险可能是30年的周期
[818.7s - 820.5s] 而同类保险一年买多份
[820.5s - 821.5s] 也没有太大的意义
[821.9s - 823.4s] 如何提醒用户回来看看呢
[823.8s - 825.1s] 于是他有这么一个功能
[825.8s - 827.2s] 今天你走了多少多少步
[827.2s - 828.3s] 快来兑换现金吧
[828.5s - 830.4s] 一方面呢可以筛选客户的质量
[830.7s - 832.8s] 毕竟能走得动的小朋友
[833.0s - 834.5s] 比那些路都走不了的小朋友
[834.7s - 835.8s] 理赔的概率要低
[836.3s - 838.2s] 另一方面也可以通过口碑
[838.3s - 839.9s] 吸引一波喜欢露羊毛
[839.9s - 841.8s] 但身体健壮的新用户来投保
[842.0s - 842.8s] 提升留存
[843.2s - 844.7s] 同时兼具拉新的功能
[844.9s - 846.6s] 其他产品大家在用的时候
[846.6s - 847.8s] 可以自己多留意一下
[848.2s - 848.9s] 这个部分
[849.1s - 851.9s] 记载案例比指定方法论会更有效一些
[853.2s - 854.7s] 好了本节课的最后
[854.7s - 856.0s] 我们刻破两个名词
[856.4s - 858.2s] aha moment和matic number
[859.0s - 860.0s] 这里声明一下
[860.0s - 861.3s] 不是up非要教英文
[861.6s - 863.0s] 而是别人跟你交流的时候
[863.2s - 864.5s] 很有可能就是用英文的
[864.8s - 866.2s] 所以你还是要大概记一下
[867.0s - 868.3s] aha moment是什么意思呢
[868.6s - 870.5s] 德国心理学家及现象学家
[870.5s - 871.8s] 卡尔布勒是这么解释的
[872.2s - 874.7s] 思考过程中一种特殊的余悦的体验
[875.0s - 876.3s] 期间会突然对之前
[876.3s - 877.7s] 并不明朗的某个局面
[877.8s - 879.0s] 产生深入的认识
[879.5s - 880.0s] 嗯
[880.8s - 882.1s] 现象学家的语言
[882.2s - 884.6s] 果然还是有点不可描述
[885.1s - 886.7s] 按照用户增长的角度来看
[887.0s - 888.8s] 在产品设计中的aha moment
[889.1s - 891.6s] 是指新用户在体验产品的初期
[891.7s - 893.1s] 发现产品价值的时刻
[893.1s - 895.3s] 一旦新用户找到产品的aha moment
[895.6s - 897.4s] 那么就更有可能留存下来
[898.1s - 899.4s] 更简单粗暴一点讲
[899.8s - 901.5s] 就是用户在完成某些动作
[901.5s - 902.4s] 多少次后
[902.6s - 904.3s] 用户留存会明显提升
[904.8s - 906.6s] 这里提到的某些动作多少次
[906.7s - 907.8s] 就是magic number
[908.2s - 909.2s] 用中文来说
[909.5s - 910.5s] 就是魔法数字
[910.8s - 912.2s] 还是看例子来解释
[912.9s - 915.0s] slack 团队沟通协作类产品
[915.4s - 916.8s] 有些用户下载了之后呢
[916.8s - 917.6s] 用了几分钟
[917.6s - 919.0s] 发现不会用或者不好用
[919.1s - 919.8s] 就离开了
[920.1s - 921.3s] 而有些人用了之后呢
[921.3s - 922.2s] 发现还挺好用的
[922.2s - 923.1s] 就留下来了
[923.6s - 924.9s] slack的研发同学
[925.1s - 926.2s] 根据数据分析
[926.2s - 928.8s] 发现团队内部发送2000条消息的团队
[929.0s - 930.3s] 留存明显提升
[930.7s - 931.7s] 这就是马哈梦梦
[932.0s - 933.5s] 而发送2000条消息
[933.8s - 935.0s] 就是 magic number
[935.3s - 936.3s] 接下来的问题
[936.4s - 938.2s] 就变成了如何它能忽悠用户
[938.2s - 938.8s] 啊不
[938.8s - 941.0s] 是引导用户发送2000条消息
[941.3s - 942.8s] 这样一个可以执行的任务了
[943.1s - 943.8s] Facebook
[944.1s - 946.0s] 用户7天内加了10个好友
[946.2s - 947.3s] 就是他的 magic number
[948.0s - 949.3s] 所以很多社交类产品
[949.3s - 950.8s] 都喜欢给你推荐一些up主
[950.9s - 952.2s] 或者推荐一些联系人
[952.8s - 954.2s] 而且要求你批量关注
[954.2s - 955.1s] 生怕你找不到
[955.8s - 957.0s] 这也是为了让用户
[957.0s - 958.5s] 快速达到这个 magic number
[958.6s - 960.4s] 从而提升整体的留存率
[960.8s - 963.0s] 你可以一周内建立四个联系人
[963.6s - 964.5s] 这个就不多讲了
[964.5s - 965.5s] 你应该已经理解了
[966.3s - 967.6s] 所以通讯微博
[967.6s - 968.9s] 会在你刚注册的时候
[968.9s - 970.1s] 给你推荐一堆好友
[970.5s - 972.5s] 微信会给你推荐通讯录好友
[973.0s - 975.3s] 微博会默认帮你推荐一堆大V
[975.8s - 976.4s] 饿了吗
[976.4s - 978.2s] 会给你发一堆现实的优惠券
[978.2s - 979.4s] 引导你赶紧下单
[980.2s - 982.2s] 这些都是在促成他们产品
[982.2s - 983.6s] 自己的 magic number 达成
[984.1s - 986.2s] 那么对于一款新的产品来说
[986.2s - 988.2s] 如何去寻找产品的啊哈梦梦腾
[988.5s - 990.1s] 比如说一款直播类产品
[990.5s - 991.4s] 通过主观思考
[991.4s - 994.4s] 关注主播应该可以提升用户的留存
[994.5s - 996.4s] 帮助用户发现产品的价值
[996.8s - 999.0s] 但问题是到底关注几个主播
[999.0s - 1000.8s] 才能明显提升用户的留存呢
[1001.2s - 1002.2s] 关注100个主播
[1002.7s - 1003.5s] 当然可以
[1003.7s - 1005.8s] 如果一个用户关注了100个主播
[1005.9s - 1007.9s] 大概率已经是一个很回的用户了
[1008.4s - 1009.7s] 但是你不能要求
[1009.7s - 1011.8s] 每个小朋友都关注100个主播对吧
[1012.7s - 1014.8s] 所以我们要结合后台数据来看
[1015.7s - 1017.0s] 假设紫色的圈
[1017.1s - 1018.5s] 是留存下来的用户
[1018.8s - 1021.0s] 红色圈是关注N位主播的用户
[1021.0s - 1023.7s] 如果发现关注8位主播的用户
[1023.7s - 1026.0s] 与留存用户之间的关系是这样的
[1026.4s - 1028.1s] 而关注1位主播的用户
[1028.1s - 1030.2s] 与留存用户之间的关系是这样的
[1030.7s - 1032.7s] 那就意味着关注8位主播
[1032.7s - 1034.3s] 的确可以提升用户的留存
[1034.6s - 1037.1s] 而关注1位主播的用户留存就不太够
[1038.0s - 1039.0s] 再继续看数据
[1039.5s - 1041.2s] 如果关注2位主播的用户
[1041.2s - 1043.7s] 与留存用户之间的关系是这样的
[1044.3s - 1046.6s] 那么我们就发现了这款产品的啊哈梦梦腾
[1047.0s - 1049.8s] 而matic number就是用户关注2位主播
[1050.1s - 1051.1s] 这句话是什么意思呢
[1051.1s - 1052.9s] 就是对于这款直播类产品来说
[1053.3s - 1055.3s] 一旦一个用户关注了两个主播
[1055.7s - 1058.2s] 他就会觉得这个直播软件真香
[1058.4s - 1060.9s] 接下来对产品来说要做的就是
[1061.1s - 1062.4s] 如何让每个用户
[1062.6s - 1064.2s] 都能关注2位以上的主播了
[1064.5s - 1067.0s] 好到这里我们这一小节就讲完了
[1067.4s - 1069.1s] 下节课带你做实验
[1069.1s - 1069.8s] 谢谢大家
[1069.8s - 1070.4s] 我是omega
[1070.8s - 1072.0s] 如果觉得这个视频有用
[1072.0s - 1073.8s] 一定记得点赞收藏加关注
[1074.0s - 1075.2s] 我们下期再见
