P2: 如何制定增长目标

[0.0s - 3.4s] 我们这节课先讲第一个,定义目标
[386.8s - 388.9s] 比如说一款产品刚上线
[388.9s - 390.8s] 那么用户新增就是最关键的
[390.8s - 392.1s] 而市场起来之后呢
[392.1s - 394.5s] 用户使用的时长就是最关键的
[394.5s - 395.6s] 等产品成熟了
[395.6s - 396.5s] 收购韭菜
[396.5s - 397.1s] 不
[397.1s - 398.2s] 是商业指标
[398.2s - 400.3s] 就会成为最关键的指标
[400.3s - 401.6s] 那么有了目标
[401.6s - 402.8s] 如何拆解呢
[402.8s - 404.0s] 我们下回分析
[404.0s - 405.0s] 我是omiga
[405.0s - 406.2s] 如果觉得这个视频有用
[406.2s - 407.8s] 记得点赞投币收藏
[407.8s - 409.0s] 我们下期再见
