P3: 一起拆解目标吧！

[0.0s - 4.0s] 这节我们讲如何拆解增长目标的第一个部分
[471.0s - 473.0s] 也不打开对吧
[473.0s - 475.0s] 这就是无效分享
[475.0s - 477.0s] 其次呢是分享了什么
[477.0s - 479.0s] 高分享的内容大概长成什么样子
[479.0s - 481.0s] 对了如果国家不限制的话
[481.0s - 483.0s] 谣言类的内容是传播最快的
[483.0s - 485.0s] 不过国家禁止了
[485.0s - 487.0s] 要不然这种内容肯定会被做增长的朋友们
[487.0s - 489.0s] 好好利用一番了
[489.0s - 491.0s] 就像之前UC做的震惊体
[491.1s - 493.1s] 从这一连串的问题我们可以筛选出那些
[493.1s - 495.1s] 愿意分享同时分享了呢
[495.1s - 497.1s] 也能带回新用户的人
[497.1s - 499.1s] 把这帮人圈起来
[499.1s - 503.1s] 在适当时间段一直给他们推这种高分享率的内容
[503.1s - 505.1s] 这样就能提升分享转化的新用户了
[505.1s - 507.1s] 除此之外呢
[507.1s - 509.1s] 如果你是一个注重细节的产品经历
[509.1s - 511.1s] 或者优秀的设计师可能还会关注一个问题
[511.1s - 513.1s] 分享出去的页面是什么样子
[513.1s - 515.1s] 对这个问题其实很重要
[515.1s - 517.1s] 就拿B站的分享页面做个例子吧
[517.1s - 519.1s] 左边是在APP上的一个页面
[519.2s - 521.2s] 左边是在APP内播放视频时的样子
[521.2s - 523.2s] 右边是分享了微信之后打开的样子
[523.2s - 527.2s] 你会不会好奇为什么左边的播放页和右边的播放页差别这么大呢
[527.2s - 529.2s] 是因为B站的设计师不给力吗
[529.2s - 531.2s] 那肯定不是对吧
[531.2s - 533.2s] 两个页面本身的使命就是不同的
[533.2s - 537.2s] 左边页面的目标是让大家更沉浸的消费内容
[537.2s - 540.2s] 右边的页面是为了拉更多的用户下载APP
[540.2s - 544.2s] 所以你会看到右上角有个粉丝的下载APP按钮
[544.2s - 546.2s] 视频下方最醒目的一个按钮
[546.2s - 548.2s] 也是点击下载APP的页面
[548.3s - 550.3s] 这个按钮的下方是具体的介绍
[550.3s - 554.3s] 封面,标题,评分,120万的播放量
[554.3s - 557.3s] 这些都是吸引用户去下载APP的入口
[557.3s - 559.3s] 再往下看是更多推荐
[559.3s - 561.3s] 如果你在更多推荐里面看到不错的视频
[561.3s - 565.3s] 随便点击一下,好了,请下载APP观看
[565.3s - 567.3s] 聪明的你可能会像躲开地雷一样
[567.3s - 569.3s] 小心翼翼的躲开每一个坑
[569.3s - 572.3s] 但是有些老人家可能就顺手点了下载
[572.3s - 574.3s] 莫名其妙的装了一堆应用
[574.3s - 576.3s] 当时的老人家可能就不太喜欢
[576.4s - 578.4s] 当然,这个页面是持续迭代的
[578.4s - 580.4s] 对于做正常的人,会持续研究这个页面
[580.4s - 582.4s] 怎么样才能拉回更多的人呢
[582.4s - 584.4s] 比如说,把下载按钮修改为
[584.4s - 586.4s] 下载即可领现金
[586.4s - 588.4s] 或者说,分享出去的这个视频
[588.4s - 590.4s] 只要点击就提示下载APP
[590.4s - 594.4s] 什么,有些倔强的用户看到下载就宁愿不看了
[594.4s - 596.4s] 还有办法,先给你看两分钟
[596.4s - 598.4s] 看到精彩的地方,告诉你
[598.4s - 600.4s] 不好意思,想看剩余的部分
[600.4s - 602.4s] 请下载APP
[602.4s - 604.4s] 好了,不能再讲下去了
[604.5s - 606.5s] 好了,不能再讲下去了,感觉会骄傲小朋友了
[606.5s - 608.5s] 做增长的人真的会这么干吗
[608.5s - 610.5s] 不会吧
[610.5s - 612.5s] 其实,会
[612.5s - 614.5s] 这个是我曾经做过的一个产品的数据分析
[614.5s - 616.5s] 具体产品名字就不说了
[616.5s - 618.5s] 数据和案例也马赛克了
[618.5s - 620.5s] 但大家的确就是这样做的
[620.5s - 622.5s] 好了,到这里已经3500个字的脚本了
[622.5s - 624.5s] 感谢已经坚持到这里的小朋友们
[624.5s - 626.5s] 有你们的支持,我才能录更多期
[626.5s - 628.5s] 可能这就是马斯洛提到的第五层需求吧
[628.5s - 630.5s] 下期,带你认识更多的增长套路
[630.5s - 632.5s] 寻找增长机会点
[632.6s - 634.6s] 我是omiga,如果觉得这个视频有用
[634.6s - 636.6s] 记得点赞
[636.6s - 638.6s] 我们下期再见
