P5: 用户增长之增长实验如何做？【完结篇】

[0.0s - 4.8s] 这节课我们花5分钟聊聊用户增长中的做实验环节
[374.0s - 381.0s] 为什么呢?沃德教授坚持认为,第一,统计的样本只涵盖了平安返回的轰炸机
[381.0s - 386.0s] 第二,被多次击中机翼的轰炸机,貌似还能安全地返航
[386.0s - 392.0s] 第三,统计学上来看,飞机每个部位被击中的概率应该是差不多的
[392.2s - 397.2s] 并非是机尾不容易被击中,而是机尾被击中的飞机根本就无法返航
[397.2s - 402.2s] 故事的最后,军方采用了教授的建议,并且后来证实该决策是正确的
[402.2s - 406.2s] 这个故事被后人用一个词来概括,幸存者偏差
[406.2s - 412.2s] 所以,不仅仅要看数据,更要考虑数据产生的场景,以及数据背后代表的是什么
[412.2s - 415.2s] 我们还是再来看一个ARMBnB的案例
[415.2s - 421.2s] ARMBnB对客房搜索结果也进行了改版测试,分别是地图改了大号的
[421.4s - 426.4s] 而列表页也修改成了大图模式,整体视觉上看起来应该是变得更好了
[426.4s - 431.4s] 但是最后上线的测试结果数据掉了,所以按照常理应该是维持旧版就好了
[431.4s - 437.4s] 但是ARMBnB做增长的工程师们仔细的查看了数据,发现了一个看起来奇怪的现象
[437.4s - 442.4s] 除了IE流感器以外,其他的流感器要么数据明显提升,要么数据微降
[442.4s - 446.4s] 这就很奇怪了,难道IE用户比较特别?
[446.6s - 451.6s] 我仔细排查之后发现,新版上线后IE流感器下有个显示错误,排版错乱了
[451.6s - 455.6s] 修复bug之后呢,IE下的用户数据也提升了两个百分点
[455.6s - 460.6s] 整体改版的数据就变成正向了,所以看见的可能只是表象
[460.6s - 462.6s] 真相很多时候是藏在数据背后的
[462.6s - 465.6s] 课程的最后再嘱咐做增长的同学几句话
[465.6s - 468.6s] 第一,增长的实验不具有完全的附用性
[468.6s - 473.6s] 大家可以在网络上搜到一些产品曾经做过的增长实验,以及他们的实验结论
[473.8s - 476.8s] 但是这并不代表你直接抄作业就可以了
[476.8s - 482.8s] 首先,他们分享出来的结果未必是真的,有可能就是引诱竞争对手去犯错误的
[482.8s - 485.8s] 其次,就算是真的,你的产品未必实用
[485.8s - 488.8s] 还是举个例子,大家不要对号入座
[488.8s - 491.8s] 今日头条可能在首页上做了个实验
[491.8s - 494.8s] 36号的新闻标题字体是用户留存最好的方案
[494.8s - 498.8s] 但是你负责的信息流产品,未必用36号标题字体就是最好的
[498.8s - 502.8s] 因为你的用户群体跟他的用户群体大概率是不同的
[503.0s - 506.0s] 假如说你的用户群体都是20岁以下的小朋友
[506.0s - 509.0s] 那么32岁字体可能会更好
[509.0s - 512.0s] 第二,沉淀自己这款产品历史上做过的实验,避免重复
[512.0s - 515.0s] 互联网公司员工的流动性都挺强的
[515.0s - 518.0s] 你作为管理者,前一辈员工做过的实验
[518.0s - 521.0s] 你肯定不希望后一辈员工再来一遍
[521.0s - 524.0s] 因为每次做实验,对应的都是相应的人力资源和时间的投入
[524.0s - 527.0s] 重复同样的实验,基本没有意义
[527.0s - 530.0s] 第三,工具化和智能化,解放生产力
[530.2s - 533.2s] 什么叫工具化呢?我们再来开个脑洞好了
[533.2s - 536.2s] 比如说我们随意翻翻B站的热门视频
[536.2s - 539.2s] 会是这个样子,你有没有发现一个现象
[539.2s - 542.2s] 有蛮高的比例,他们都在封面图上写了文字
[542.2s - 545.2s] 难道说封面图加关键词就是流量密码
[545.2s - 548.2s] 那么如果我是B站的运营方,是不是可以做一个合理的假设
[548.2s - 551.2s] 封面加了关键词,用户更愿意点击
[551.2s - 554.2s] 用户点击的多了,就可以提升整体的用户时长
[554.2s - 557.2s] 那是不是可以给UP主提供一个
[557.4s - 560.4s] 手页视频的封面图自动增加内容的关键词,就像这样
[560.4s - 563.4s] 这就是工具化
[563.4s - 566.4s] 当然了,这个需求纯属歪歪,大家随意看看就好,不要当真
[566.4s - 569.4s] 好了,到这里本系列课程就告一段落了
[569.4s - 572.4s] 我是伍余感,如果觉得有用,记得点赞收藏加关注
[572.4s - 575.4s] 感谢大家的支持,我们下期再见
