P1: 用户增长是什么&增长应该怎么做

[0.0s - 4.6s] 首先说说为什么是同学内部都听不到的课程
[286.6s - 288.3s] 出现在搜索结果最上面
[288.4s - 291.5s] 而是冲前买来广告位的商品出现在最上面
[291.5s - 294.5s] 所以用户一旦习惯从百度搜索商品了
[294.5s - 297.4s] 那么商户就没必要再淘宝充值了
[297.4s - 298.8s] 可以直接冲给百度
[298.8s - 300.3s] 自己的排名就靠前了
[300.3s - 302.0s] 理论上销量已经上去了
[302.0s - 304.8s] 而这一点对于淘宝来说也是不可忍受的
[304.8s - 307.6s] 所以2008年9月份
[307.6s - 309.5s] 淘宝正式屏蔽了百度的搜索
[309.5s - 311.4s] 当然了 现在是2021年
[311.4s - 313.6s] 淘宝奠定了电商界龙头的地位后
[313.6s - 316.0s] 适当开放了一部分的百度搜索权限
[316.0s - 319.2s] 但是百度仍然不可能索引到淘宝的商品列表
[319.2s - 321.3s] 可以看一下同样的关键词
[321.3s - 324.4s] 百度和微软的碧映的搜索结果
[324.4s - 327.0s] 百度搜出来的是带有广告标记的
[327.0s - 330.1s] 也就是说淘宝从百度买了整块的广告位
[330.1s - 332.1s] 直接导流到淘宝的整站
[332.1s - 335.8s] 而且商品展示顺序是按照淘宝自己的顺序
[335.8s - 337.2s] 而碧映这边呢
[337.2s - 339.2s] 是可以直接展示商品列表的
[339.2s - 341.2s] 侧面也可以理解为
[341.2s - 343.6s] 淘宝并没有把碧映列为竞争对手
[343.6s - 345.9s] 不知道是不是应该为碧映感到开心
[346.2s - 348.7s] 刚才是从战略的角度分析了一堆
[348.7s - 350.2s] 如果是从增长的角度
[350.2s - 351.7s] 那视角就非常不一样了
[352.5s - 354.5s] 从增长的角度就是
[354.5s - 356.0s] 嗯,听说有流量
[356.0s - 357.8s] 那申请一波广告预算
[357.8s - 359.0s] 看看怎么投放
[359.0s - 360.8s] 然后怎么以最低的成本
[360.8s - 362.0s] 拉来最多的用户
[362.9s - 365.0s] 如果当时直接按照这个速度走
[365.0s - 366.4s] 可能淘宝到现在
[366.4s - 368.0s] 已经就凉了
[368.8s - 369.6s] 到这里
[369.6s - 371.2s] 前面都是一些感性的认知
[371.2s - 372.9s] 但咱们毕竟是一门课程
[372.9s - 375.0s] 怎么才能让自己看起来更专业呢
[375.6s - 377.8s] 得跟那些没有学过的拉开差距是吧
[378.4s - 380.2s] 接下来就要花重点了
[380.2s - 381.6s] 增长大法制方法论
[382.2s - 383.8s] 增长的经典方法论
[383.8s - 385.3s] 里边有一个叫增长舞步曲
[385.9s - 387.3s] 也就是获取
[387.3s - 388.1s] 激活
[388.1s - 388.8s] 留存
[388.8s - 389.3s] 变现
[389.3s - 389.8s] 推荐
[390.4s - 391.2s] 英文名是
[391.8s - 392.7s] Ekkun
[392.7s - 394.1s] Ekkwese
[394.1s - 395.0s] 啊,算了
[395.0s - 396.3s] 对应的就是这么几个单词
[396.3s - 397.2s] 不重要了
[397.2s - 398.8s] 记住他们的缩写就好了
[398.8s - 400.9s] 就是AARR模型
[400.9s - 402.0s] 也就是海盗模型
[402.4s - 404.0s] 为什么叫海盗模型呢
[404.0s - 405.5s] 是因为用这套方法论
[405.5s - 406.6s] 做起增长来
[406.6s - 408.7s] 就像海盗掠夺式增长一样疯狂
[409.2s - 411.2s] 那这几个词汇到底是什么意思呢
[411.2s - 412.4s] 我们举个例子
[412.4s - 414.0s] 假如说你是一个海盗船长
[414.7s - 416.5s] 肯定是要发展壮大自己的队伍
[416.5s - 417.2s] 对吧
[417.2s - 418.8s] 但是大家不会无缘无故的
[418.8s - 420.0s] 就加入你的海盗船伙
[420.7s - 422.0s] 所以你需要一个钩子
[422.5s - 423.3s] 这里钩子呢
[423.3s - 424.8s] 很有可能是一箱金币
[424.8s - 425.6s] 当然了
[425.6s - 426.5s] 更狠一点
[426.5s - 427.6s] 可以是一张
[428.4s - 430.2s] 跟我混就有金子的大饼
[430.8s - 432.6s] 互联网行业基本都是这么干的
[433.6s - 436.0s] 中赏之下肯定会吸引来不少联为官
[436.0s - 436.5s] 对吧
[436.5s - 437.6s] 这就叫获取
[438.1s - 438.7s] 然后呢
[438.7s - 440.0s] 总会有几个脑子不好使的
[440.0s - 441.3s] 就被忽悠到海盗船上了
[441.3s - 442.4s] 这就叫激活
[443.4s - 444.0s] 结果呢
[444.0s - 445.6s] 过了几天有一个反应过来
[445.6s - 446.8s] 自己貌似是被骗了
[446.8s - 447.6s] 就跑掉了
[447.6s - 448.8s] 那个叫流失用户
[448.8s - 450.8s] 而总会有人持续留下来
[450.8s - 451.7s] 比如说这两
[451.7s - 452.8s] 这就叫留存
[453.6s - 454.4s] 既然留下来了
[454.4s - 455.6s] 总得交点伙食费
[455.6s - 457.4s] 住宿费或者入会费什么的吧
[457.4s - 459.2s] 这就叫实现了变现
[459.9s - 460.6s] 然后呢
[460.6s - 461.9s] 自己作为海盗船长
[462.0s - 462.9s] 既然有小弟了
[462.9s - 465.0s] 就应该让小弟出去化冰招人了
[465.0s - 466.0s] 这就叫推荐
[466.9s - 469.6s] 这就是增长的AARRR模型
[470.4s - 471.7s] 我们对应着互联网产品
[471.7s - 472.4s] 再来捋一遍
[473.3s - 475.3s] 假如你要做一款信息流产品
[475.3s - 477.4s] 一开始在各个网站APP打广告
[477.9s - 479.2s] 说来我这儿看新闻
[479.2s - 480.3s] 领10块钱现金
[481.2s - 482.8s] 会有不少人点击这个广告
[482.8s - 483.6s] 这就是获取
[484.2s - 484.9s] 然后呢
[484.9s - 486.7s] 有人真的下载了你的APP
[486.7s - 487.8s] 并注册了账号
[487.8s - 488.6s] 这就叫激活
[489.2s - 490.4s] 这个时候你告诉他
[490.4s - 491.5s] 10块钱已经给你了
[491.6s - 492.1s] 但是呢
[492.1s - 493.2s] 你想要提现
[493.2s - 494.4s] 得每天过来签到
[494.4s - 495.6s] 连续签一个月
[495.6s - 496.6s] 中间不能断
[496.6s - 497.8s] 才能提出来
[497.8s - 498.6s] 这就叫留存
[499.6s - 501.0s] 有人就天天过来签到
[501.0s - 501.9s] 顺便看看新闻
[502.4s - 504.4s] 这个时候你就可以推广告给他了
[504.4s - 506.5s] 而广告商要为流量付钱给你
[506.5s - 507.3s] 这就是变现
[508.1s - 508.8s] 最后呢
[508.8s - 510.5s] 你发现有人真的为了这10块钱
[510.5s - 511.6s] 每天过来平台签到
[511.6s - 512.4s] 就告诉他说
[513.0s - 513.6s] 你啊
[513.6s - 515.7s] 只要再推荐10个人过来下载我的APP
[515.7s - 516.8s] 我可以再给你10块钱
[517.4s - 519.9s] 这些人就变成了你的廉价的宣传员
[519.9s - 520.6s] 这就是推荐
[521.2s - 521.9s] 是不是很贱
[522.4s - 523.2s] 啊不
[523.2s - 524.5s] 是不是很简单
[526.0s - 526.8s] 当然了
[526.8s - 528.0s] 现在也有个论调
[528.0s - 529.6s] aarr已经过时了
[529.6s - 531.1s] 现在都是ra rra了
[531.7s - 532.4s] 其实吧
[532.4s - 533.3s] 差别不大
[533.3s - 534.8s] 就是改变下顺序和思路
[534.8s - 535.7s] 有兴趣的同学
[535.7s - 536.7s] 也可以自己摆渡一下
[538.0s - 539.6s] 这只是增长链路里边
[539.6s - 540.4s] 增长模型的一种
[541.3s - 543.0s] 其实一个最基础的增长链路
[543.0s - 543.7s] 是长这样的
[544.8s - 545.9s] 定义目标
[545.9s - 547.0s] 拆解目标
[547.0s - 547.9s] 实验优化
[547.9s - 548.6s] 知识沉淀
[549.5s - 550.4s] 前边三步呢
[550.6s - 553.1s] 可以理解为增长模型的搭建过程
[553.1s - 555.3s] 刚才提到的aarr模型
[555.3s - 557.0s] 是增长模型的一种
[557.0s - 557.7s] 除此之外
[557.7s - 560.0s] 还可以用服务设计模型等等
[560.0s - 561.3s] 你这个时候可能会问
[561.3s - 562.7s] 如果忽然灵光乍现
[562.7s - 563.8s] 一个增长的方法
[563.8s - 564.5s] 但是呢
[564.5s - 566.5s] 并不是根据已有的模型推导出来的
[566.5s - 567.2s] 可不可以呢
[567.9s - 569.0s] 当然是可以的
[569.0s - 570.2s] 而且实际大部分时候
[570.2s - 571.7s] 也的确就是这样的
[571.7s - 572.4s] 毕竟
[572.4s - 573.4s] 不管黑猫白猫
[573.4s - 574.3s] 能抓住耗子
[574.3s - 574.9s] 都是好猫
[575.6s - 576.2s] 后续呢
[576.2s - 577.9s] 我会根据上边这条链路
[577.9s - 579.5s] 讲讲每个关键词是什么概念
[580.3s - 583.3s] 其实这几个关键词看起来都相当好理解
[583.3s - 585.9s] 但简单的东西往往也没那么容易做好
[587.2s - 587.6s] 好
[587.6s - 588.8s] 本集先到这里
[588.8s - 589.5s] 下节课呢
[589.5s - 591.6s] 我们来讲讲如何来定义目标
[591.6s - 592.5s] 我是omega
[592.5s - 593.6s] 如果觉得课程有用
[593.6s - 594.8s] 记得点赞收藏
[594.8s - 595.9s] 我们下期再见
